Ce05_ip21_572qic2127;Ce05_ip21_572aic2122;Ce05_ip21_572nic2085;Ce05_ip21_572tic2120;Ce05_ip21_572zi2602;Ce05_ip21_572zx2881e;Ce05_ip21_572pi2202;Ce05_ip21_572pi2207;Ce05_ip21_572pi2204;Ce05_ip21_572pi2212;Ce05_ip21_572pi2209;Ce05_ip21_572pi2214;Ce05_ip21_572pi2216;Ce05_ip21_572pic2223;Ce05_ip21_572pic2227;Ce05_ip21_572pi2228;Ce05_ip21_572pic2226;Ce05_ip21_572pi2233;Ce05_ip21_572pi2235;Ce05_ip21_572pi2241;Ce05_ip21_572pi2243;Ce05_ip21_572pi2206;Ce05_ip21_572pi2231;Ce05_ip21_572pi2238;Ce05_ip21_572fi2294;Ce05_ip21_572pi2244;Ce05_ip21_572pi2245;Ce05_ip21_572pi2246;Ce05_ip21_572pi2247;Ce05_ip21_572pi2253;Ce05_ip21_572pi2254;Ce05_ip21_572fi2292;Ce05_ip21_572fi2293;Ce05_ip21_572fi2296;Ce05_ip21_572fi2298;Ce05_ip21_572fi2297;Ce05_ip21_572fi2295;Ce05_ip21_572mic2990;Ce05_ip21_572ti2902;Ce05_ip21_572fi2901;Ce05_ip21_572pi2903;Ce05_ip21_572pic2904;Ce05_ip21_572tic2474;Ce05_ip21_572mic2911;Ce05_ip21_572TI2910;Ce05_ip21_572TI2912;Ce05_ip21_572TI2920;Ce05_ip21_572TI2905;Ce05_ip21_572PIC2906;Ce05_ip21_572PI2906;Ce05_l21_622ni572.0.23;Ce05_l21_622ni572.0.24;Ce05_l21_622ai581.0.8
1.201725706;4.851643581;2.870352609;66.55965882;59.02790628;169.9795316;-0.140272909;-2.845830606;-0.426926404;-7.460732341;-6.407443978;-7.960297165;-9.330237811;-15.99584179;-22.39242069;-23.04391377;-19.04002835;-30.66826992;-36.74980368;-45.63046028;-18.24596534;-17.04456465;-27.19670654;-41.60197846;309.6091587;-50.38146341;-63.94613902;-47.64455298;-15.77656242;-60.83299277;-51.35721822;472.6560471;701.1771633;574.789404;555.0062037;339.2125608;582.3178888;95.13430202;148.6566575;19.72233138;359.176484;323.5255937;146.334416;243.8402765;73.34102355;107.5463282;80.88716547;137.3813555;-85.72670622;-86.09607969;34.59999847;52.40000153;583
1.201715459;4.851761339;2.869998919;66.53324316;59.03058285;170.0293658;-0.139741049;-2.845652813;-0.426653602;-7.458545299;-6.405336856;-7.931299931;-9.305662689;-15.95299642;-22.27104872;-23.08536251;-18.89325506;-30.84219111;-36.8121831;-45.7119269;-18.24875832;-17.04095238;-27.33908721;-41.68892915;308.3632111;-50.33368707;-64.11220573;-47.69592815;-15.78789987;-60.74590853;-51.26388177;472.4643124;702.6707032;608.1827762;594.648585;341.8432204;590.4077181;95.1526101;148.6790898;19.81748149;359.712652;323.8726431;146.2515526;245.8222151;73.65683302;107.5018292;81.26769063;137.3945421;-86.61255711;-86.34508555;34.59999847;52.40000153;583
1.201705212;4.851879097;2.86964523;66.54207566;59.03325942;170.0548955;-0.139209189;-2.845475021;-0.426380799;-7.459250354;-6.403229733;-7.932008406;-9.349110291;-15.97707155;-22.35009317;-23.09540977;-18.91117727;-30.69736002;-36.72627034;-45.66187659;-18.27494783;-17.0373401;-27.23238993;-41.5992546;309.4524011;-50.2754086;-63.97058402;-47.80321988;-15.80016791;-60.71896239;-51.24146471;471.9560736;703.8580454;615.6285256;607.689363;341.1984467;586.2412455;95.1699454;148.68423;19.88808317;361.3665096;324.9499112;146.7688844;239.6695304;73.95375522;107.4322761;81.61792582;137.4077288;-87.17236687;-87.4958228;34.59999847;52.40000153;583
1.201694964;4.851996855;2.86929154;66.50458227;59.035936;170.0041607;-0.138677329;-2.845297228;-0.426107997;-7.461228533;-6.401122611;-7.952386403;-9.352235965;-15.95376082;-22.37042037;-23.08259727;-18.97737381;-30.63449786;-36.7068958;-45.6662568;-18.25093934;-17.03372783;-27.20894179;-41.61459043;309.9115898;-50.37044335;-64.08008818;-47.70143432;-15.81243594;-60.67914555;-51.27778268;471.3173785;702.8457816;610.033825;615.565746;340.1043375;588.7434445;95.16870235;148.7609755;19.93527987;362.8537202;326.7349138;146.9872722;242.7689141;74.23837004;107.5080682;81.94381854;137.4212511;-86.8756231;-86.85403138;34.59999847;52.40000153;583
1.201684717;4.852114613;2.86893785;66.52125321;59.03861257;169.9791973;-0.13814547;-2.845119435;-0.425835194;-7.463206712;-6.399015488;-7.945089138;-9.301098838;-15.9970376;-22.27937815;-23.0628062;-18.96162746;-30.63417295;-36.71832881;-45.64500449;-18.22847339;-17.03011556;-27.20413971;-41.57498117;308.3638652;-50.34616598;-64.00344094;-47.54405434;-15.844071;-60.72286062;-51.26255457;471.5936661;701.8588093;547.8024537;595.7438942;339.2294353;583.2693608;95.1664722;148.7695581;19.68225695;360.7536982;325.8892357;147.0873114;241.0695427;74.47053862;107.4809179;82.2192674;137.4479765;-86.56436764;-86.12267447;34.59999847;52.40000153;583
1.20167447;4.852232372;2.868585579;66.44587853;59.04128914;170.0311842;-0.13761361;-2.844941642;-0.425562392;-7.465184891;-6.396908366;-7.922608803;-9.314300578;-16.03165147;-22.37190035;-23.10525557;-19.01415707;-30.68610604;-36.68567946;-45.64225192;-18.23515082;-17.02737743;-27.20084912;-41.56612225;308.1780335;-50.33022797;-64.07042174;-47.70262847;-15.87545549;-60.75605797;-51.29686816;471.650211;704.6270207;596.7512634;637.2220188;339.441622;577.7562672;95.16424204;148.7985158;19.60196709;356.5198246;322.2398622;147.124166;242.9802176;74.66371808;107.4553559;82.4819573;137.4719981;-86.37100813;-87.07985695;34.59999847;52.40000153;583
1.201664223;4.85235013;2.868704246;66.50917645;59.04396572;169.9541178;-0.13708175;-2.844763849;-0.425289589;-7.467163071;-6.394801243;-7.918775036;-9.31395366;-15.98898103;-22.34064359;-23.10047504;-19.00076078;-30.65956586;-36.73813332;-45.70230414;-18.25636965;-17.03153371;-27.19474703;-41.58849486;308.777957;-50.42406748;-64.11041794;-47.4376829;-15.8800253;-60.70128687;-51.3644791;472.6699569;703.0589687;634.1900704;621.8392237;341.5490945;575.4016931;95.16201189;148.9238353;19.78222007;355.9437866;320.5906612;147.1401734;242.7777701;74.88814327;107.5000114;82.71035093;137.4344478;-87.25909034;-86.66602214;34.59999847;52.40000153;583
1.201653976;4.852467888;2.869199944;66.53324066;59.04664229;170.0210047;-0.13654989;-2.844586056;-0.425016787;-7.46914125;-6.392694121;-7.923136641;-9.282154428;-15.99882339;-22.3427781;-23.05777949;-18.99759441;-30.69081404;-36.79991941;-45.71806049;-18.21819539;-17.03716628;-27.21960155;-41.63361089;306.6279737;-50.39679117;-64.10782161;-47.72965725;-15.88449446;-60.68794624;-51.34589347;470.9903314;702.127558;622.88094;632.4819129;340.2782335;576.3670735;95.15978174;149.0211155;19.80868477;357.1166107;321.1528083;147.1618901;241.1778489;75.07348632;107.4404263;82.91621129;137.3816867;-86.98542443;-87.01282268;34.59999847;52.40000153;583
1.201643729;4.852585646;2.869695642;66.52511453;59.04931886;169.9947564;-0.13601803;-2.844408263;-0.424743984;-7.471119429;-6.390586999;-7.927498245;-9.266952378;-16.06283748;-22.40738258;-23.07567556;-19.08509951;-30.71291017;-36.83678043;-45.74130781;-18.21001548;-17.04279885;-27.2351153;-41.68608246;306.9679208;-50.28079753;-64.08321804;-47.55583042;-15.88896362;-60.78919222;-51.35116717;471.0403765;702.2650224;561.9089673;603.4711263;339.040614;578.1960547;95.15755158;149.0807191;19.78901432;356.7500724;321.2475515;147.2142838;240.916056;75.24619335;107.4069416;83.10512434;137.3752089;-86.91436593;-86.70417408;34.59999847;52.40000153;583
1.201633482;4.852703404;2.87019134;66.5196077;59.05199544;169.987952;-0.135675438;-2.84423047;-0.424471182;-7.473097608;-6.388479876;-7.93185985;-9.266743844;-15.99003848;-22.29593394;-23.11960768;-19.0012753;-30.74509481;-36.78296422;-45.68167105;-18.21771371;-17.04843142;-27.28810241;-41.60817746;307.536722;-50.29095136;-64.08953952;-47.7277677;-15.89343279;-60.84059214;-51.43446668;472.8276321;703.3448967;615.0008879;595.5886303;340.6225777;584.5856261;95.15532143;149.1541685;20.08434301;360.9250771;323.8393891;147.271237;241.8431099;75.39853103;107.5656461;83.29682427;137.3896044;-86.7311316;-86.81263772;34.59999847;52.40000153;583
1.201623234;4.852841999;2.870687039;66.53530109;59.05467201;170.0284198;-0.135891821;-2.844052678;-0.424198379;-7.475075787;-6.386372754;-7.936221454;-9.28952232;-15.99479773;-22.40415862;-23.08195116;-18.98434301;-30.68244819;-36.76994352;-45.67710579;-18.21675696;-17.05406399;-27.21799152;-41.58974514;307.2286011;-50.34817211;-64.01002743;-47.61746311;-15.89790195;-60.80047861;-51.4506027;471.471958;701.9764685;620.9047805;595.7207461;340.3593625;587.0863149;95.15309127;149.1169885;19.88911753;362.4051834;326.5724192;147.3281902;240.9221053;75.53779819;107.5191201;83.45523599;137.4039999;-86.07115957;-87.30857982;34.59999847;52.40000153;583
1.201612987;4.853093134;2.871182737;66.51865648;59.05734858;169.9892562;-0.136144839;-2.843874885;-0.423925576;-7.477053966;-6.384265631;-7.940583059;-9.289360603;-16.03384155;-22.38639614;-23.1071505;-19.08855416;-30.68960718;-36.78854918;-45.702201;-18.2340269;-17.05969657;-27.23477908;-41.6635395;307.255324;-50.32117217;-64.04093851;-47.80680259;-15.90237111;-60.65933312;-51.49390919;471.9649963;702.0586972;584.6025129;558.0430089;339.2129043;578.1826944;95.15086112;149.1483104;19.72990619;360.47209;325.6248394;147.3851434;246.2118855;75.64895645;107.5403224;83.62500235;137.4202559;-86.77169191;-87.40987421;34.59999847;52.40000153;583
1.20160274;4.853361088;2.871678435;66.47278758;59.0589243;169.9715041;-0.136397857;-2.843697092;-0.423652774;-7.479032146;-6.382158509;-7.944944663;-9.28265305;-16.04864591;-22.44701115;-23.05879883;-19.0116073;-30.72691117;-36.78605618;-45.69468503;-18.25128199;-17.06532914;-27.20301935;-41.64779267;307.3667245;-50.39804947;-64.00637901;-47.54935832;-15.90684028;-60.64739847;-51.57586024;470.1973182;700.5115997;593.056659;555.7811278;338.9378731;578.1431202;95.14863097;149.1312072;19.67934025;358.1526964;323.411183;147.4385396;242.5568025;75.7707246;107.5592804;83.7704757;137.422987;-86.9422172;-86.59487361;34.59999847;52.40000153;583
1.201592493;4.853629042;2.872174133;66.58745564;59.02853374;169.9971383;-0.136650874;-2.843519299;-0.423379971;-7.480442845;-6.380051386;-7.949306267;-9.275945497;-15.98836999;-22.27353962;-23.09961953;-18.95674763;-30.67285594;-36.76569542;-45.66443781;-18.26056356;-17.048481;-27.19050763;-41.60553456;307.051368;-50.34327584;-64.11345783;-47.50731639;-15.91130944;-60.64946561;-51.63498626;471.6376774;701.0485679;603.6196942;557.5055148;340.3034204;577.8605551;95.14640081;149.2129602;19.76483202;357.1701506;322.0525804;147.4464624;242.5345665;75.89084912;107.5562884;83.89555321;137.4093986;-86.9840116;-86.98774546;34.59999847;52.40000153;583
